Rank,Player,Nation,Position,Squad,Age,Year of Birth,Matches Played,Starts,Minutes,Minutes Played Divided By 90,Goals,Assists,Goals and Assists,Non-penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,Goals and Assists per 90,Non-penalty Goals per 90,Goals and Assists minus Penalty Kicks per 90
227,Amey Ranawade,inIND,DF,Odisha,26.0,1998.0,22,18,1646,18.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
228,Pramveer Ranbir,inIND,DF,Punjab,17.0,2007.0,10,6,586,6.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
229,Jayesh Rane,inIND,MF,Mumbai City,32.0,1991.0,20,9,877,9.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
230,Mandar Rao Dessai,inIND,DF,Chennaiyin,32.0,1992.0,11,6,649,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
231,Sumit Rathi,inIND,DF,NorthEast Utd,22.0,2001.0,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
232,Hamza Regragui,maMAR,"DF,MF",NorthEast Utd,27.0,1997.0,11,3,314,3.5,0,1,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29
233,Laldinliana Renthlei,inIND,DF,Chennaiyin,25.0,1998.0,16,13,1200,13.3,0,1,1,0,0,0,3,1,0.0,0.07,0.07,0.0,0.07
234,Rochharzela,inIND,MF,Mohammedan,26.0,1998.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
235,Lenny Rodrigues,inIND,MF,Hyderabad FC,37.0,1987.0,11,6,548,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
236,Nathan Rodrigues,inIND,DF,Mumbai City,20.0,2004.0,22,16,1387,15.4,3,1,4,3,0,0,0,0,0.19,0.06,0.26,0.19,0.26
237,Muhammed Roshal PP,inIND,MF,East Bengal,21.0,2003.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
238,Bhaskar Roy,inIND,GK,Mohammedan,31.0,1993.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
239,Hormipam Ruivah,inIND,DF,Kerala Blasters,23.0,2001.0,18,13,1189,13.2,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0
240,Noah Saadaoui,maMAR,"MF,FW",Kerala Blasters,30.0,1993.0,19,15,1437,16.0,7,5,12,6,1,1,2,0,0.44,0.31,0.75,0.38,0.69
241,Armando Sadiku,alALB,FW,Goa,33.0,1991.0,22,13,1261,14.0,9,2,11,6,3,3,0,1,0.64,0.14,0.79,0.43,0.57
242,Muhammed Saheef,inIND,DF,Kerala Blasters,21.0,2003.0,3,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
243,Lalchhanhima Sailo,inIND,MF,Hyderabad FC,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
244,Alex Saji,inIND,DF,Hyderabad FC,24.0,2000.0,21,21,1870,20.8,0,0,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.0
245,Siva Sakthi,inIND,"FW,MF",Bengaluru,23.0,2001.0,12,2,295,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
246,Mohammed Salah,inIND,"DF,FW",Bengaluru,30.0,1994.0,12,5,429,4.8,0,2,2,0,0,0,3,0,0.0,0.42,0.42,0.0,0.42
247,Buanthanglun Samte,inIND,DF,NorthEast Utd,24.0,1999.0,20,20,1717,19.1,0,3,3,0,0,0,3,0,0.0,0.16,0.16,0.0,0.16
248,Mohammed Sanan,inIND,MF,Jamshedpur,20.0,2004.0,24,19,1536,17.1,3,1,4,3,0,0,2,0,0.18,0.06,0.23,0.18,0.23
249,Aakash Sangwan,inIND,DF,Goa,28.0,1995.0,21,19,1691,18.8,1,2,3,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16
250,Stefan Šapić,rsSRB,DF,Hyderabad FC,27.0,1997.0,22,22,1940,21.6,2,0,2,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09
251,Shubham Sarangi,inIND,DF,Jamshedpur,24.0,2000.0,12,6,532,5.9,0,1,1,0,0,0,3,0,0.0,0.17,0.17,0.0,0.17
252,Muheet Shabir,inIND,GK,Punjab,22.0,2001.0,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
253,Harsh Shailesh Patre,inIND,MF,Bengaluru,21.0,2003.0,4,3,201,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
254,Singamayum Shami,inIND,FW,Punjab,17.0,2007.0,5,0,49,0.5,1,0,1,1,0,0,0,0,1.84,0.0,1.84,1.84,1.84
255,Hitesh Sharma,inIND,MF,Mumbai City,26.0,1997.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
256,Lara Sharma,inIND,GK,Goa,24.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
257,Connor Shields,sctSCO,"MF,FW",Chennaiyin,27.0,1997.0,20,20,1758,19.5,1,8,9,1,0,0,4,1,0.05,0.41,0.46,0.05,0.46
258,Chingangbam Shivaldo,inIND,FW,Bengaluru,20.0,2004.0,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
259,Parag Shrivas,inIND,DF,Hyderabad FC,27.0,1997.0,16,9,775,8.6,1,2,3,1,0,0,5,1,0.12,0.23,0.35,0.12,0.35
260,Cleiton Silva,brBRA,"FW,MF",East Bengal,37.0,1987.0,18,11,1112,12.4,0,2,2,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16
261,Abhishek Singh,inIND,"DF,MF",Punjab,19.0,2005.0,22,22,1955,21.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
262,Adison Singh,inIND,FW,Mohammedan,20.0,2004.0,7,1,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
263,Amarjit Singh,inIND,MF,Mohammedan,23.0,2001.0,16,12,933,10.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
264,Amrinder Singh,inIND,GK,Odisha,31.0,1993.0,24,24,2160,24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
265,Aphaoba Singh,inIND,FW,Odisha,20.0,2004.0,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
266,Arshdeep Singh,inIND,GK,Hyderabad FC,26.0,1997.0,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
267,Bipin Singh,inIND,"FW,MF",Mumbai City,29.0,1995.0,20,13,1119,12.4,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08
268,Boris Singh,inIND,"DF,MF",Goa,24.0,2000.0,23,23,2009,22.3,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09
269,Dheeraj Singh,inIND,GK,Mohun Bagan,24.0,2000.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
270,Gurkirat Singh,inIND,DF,Chennaiyin,21.0,2003.0,12,0,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
271,Gurmeet Singh,inIND,GK,NorthEast Utd,24.0,1999.0,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
272,Gursimrat Singh,inIND,DF,East Bengal,26.0,1997.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
273,Jeakson Singh,inIND,MF,East Bengal,23.0,2001.0,18,12,1145,12.7,2,0,2,2,0,0,6,1,0.16,0.0,0.16,0.16,0.16
274,Jitendra Singh,inIND,MF,Chennaiyin,23.0,2001.0,14,5,498,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
275,Jiteshwor Singh,inIND,MF,Chennaiyin,22.0,2001.0,9,4,413,4.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
276,Kamaljit Singh,inIND,GK,Kerala Blasters,28.0,1995.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
277,Karanjit Singh,inIND,GK,Hyderabad FC,38.0,1986.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
278,Kelvin Singh,inIND,FW,Bengaluru,18.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
279,Konsham Singh,inIND,DF,Bengaluru,27.0,1996.0,20,15,1330,14.8,0,1,1,0,0,0,5,1,0.0,0.07,0.07,0.0,0.07
280,Korou Singh,inIND,MF,Kerala Blasters,17.0,2006.0,17,15,1249,13.9,2,4,6,2,0,0,1,0,0.14,0.29,0.43,0.14,0.43
281,Mahesh Singh,inIND,"MF,FW",East Bengal,25.0,1999.0,20,16,1280,14.2,2,1,3,2,0,0,4,1,0.14,0.07,0.21,0.14,0.21
282,Maheson Singh,inIND,MF,Chennaiyin,19.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
283,Manvir Singh,inIND,FW,Mohammedan,23.0,2001.0,10,5,510,5.7,1,0,1,1,0,0,2,0,0.18,0.0,0.18,0.18,0.18
284,Manvir Singh,inIND,MF,Mohun Bagan,28.0,1995.0,23,21,1794,19.9,5,4,9,5,0,0,2,0,0.25,0.2,0.45,0.25,0.45
285,Manvir Singh,inIND,FW,Jamshedpur,23.0,2001.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
286,Mehtab Singh,inIND,DF,Mumbai City,26.0,1998.0,22,22,1980,22.0,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05
287,Naocha Singh,inIND,DF,Kerala Blasters,24.0,1999.0,22,22,1980,22.0,0,2,2,0,0,0,6,0,0.0,0.09,0.09,0.0,0.09
288,Ngouba Singh,inIND,MF,NorthEast Utd,29.0,1995.0,4,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
289,Prabhsukhan Singh,inIND,GK,East Bengal,23.0,2001.0,21,21,1887,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
290,Roshan Singh,inIND,DF,Bengaluru,25.0,1999.0,23,23,2062,22.9,1,3,4,1,0,0,3,0,0.04,0.13,0.17,0.04,0.17
291,Sanatomba Singh,inIND,DF,Goa,18.0,2006.0,2,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
292,Sandeep Singh,inIND,"DF,MF",Kerala Blasters,29.0,1995.0,20,17,1405,15.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
293,Gurpreet Singh Sandhu,inIND,GK,Bengaluru,32.0,1992.0,21,20,1801,20.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
294,Suresh Singh,inIND,MF,Bengaluru,23.0,2000.0,21,20,1578,17.5,1,1,2,1,0,0,1,0,0.06,0.06,0.11,0.06,0.11
295,Thoi Singh,inIND,"MF,FW",NorthEast Utd,20.0,2004.0,12,4,442,4.9,0,2,2,0,0,0,0,0,0.0,0.41,0.41,0.0,0.41
296,Thoiba Singh,inIND,"DF,MF",Odisha,21.0,2002.0,22,19,1804,20.0,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15
297,Tondonba Singh,inIND,DF,NorthEast Utd,29.0,1994.0,11,4,436,4.8,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21
298,Udanta Singh,inIND,"MF,DF",Goa,28.0,1996.0,17,13,1161,12.9,3,3,6,3,0,0,2,0,0.23,0.23,0.47,0.23,0.47
299,Vikram Singh,inIND,"FW,MF",Mumbai City,22.0,2002.0,20,17,1374,15.3,1,0,1,1,0,0,6,1,0.07,0.0,0.07,0.07,0.07
300,Siverio,esESP,FW,Jamshedpur,26.0,1997.0,23,15,1463,16.3,6,0,6,5,1,1,5,0,0.37,0.0,0.37,0.31,0.31
301,Sourav,inIND,MF,Hyderabad FC,23.0,2001.0,12,2,357,4.0,1,1,2,1,0,0,0,0,0.25,0.25,0.5,0.25,0.5
302,Sanjeev Stalin,inIND,MF,Mumbai City,23.0,2001.0,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
303,Greg Stewart,sctSCO,MF,Mohun Bagan,34.0,1990.0,18,11,1014,11.3,2,5,7,2,0,0,4,0,0.18,0.44,0.62,0.18,0.62
304,Nihal Sudeesh,inIND,"FW,MF",Punjab,23.0,2001.0,20,12,1072,11.9,1,2,3,1,0,0,3,0,0.08,0.17,0.25,0.08,0.25
305,Muhammed Suhail,inIND,"MF,FW",Punjab,17.0,2006.0,13,9,665,7.4,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14
306,Asmir Suljić,baBIH,"MF,FW",Punjab,32.0,1991.0,23,13,1219,13.5,4,4,8,3,1,1,4,0,0.3,0.3,0.59,0.22,0.52
307,Parthib Sundar Gogoi,inIND,"MF,FW",NorthEast Utd,21.0,2003.0,21,8,729,8.1,2,3,5,2,0,0,1,0,0.25,0.37,0.62,0.25,0.62
308,Joseph Sunny,inIND,"MF,FW",Hyderabad FC,20.0,2003.0,13,9,722,8.0,2,0,2,2,0,0,2,0,0.25,0.0,0.25,0.25,0.25
309,Sachin Suresh,inIND,GK,Kerala Blasters,23.0,2001.0,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
310,Edwin Sydney Vanspaul,inIND,"DF,MF",Chennaiyin,31.0,1992.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
311,Rei Tachikawa,jpJPN,MF,Jamshedpur,26.0,1998.0,24,15,1248,13.9,3,3,6,3,0,0,2,0,0.22,0.22,0.43,0.22,0.43
312,Madih Talal,frFRA,"MF,FW",East Bengal,26.0,1997.0,10,9,741,8.2,1,1,2,0,1,1,1,0,0.12,0.12,0.24,0.0,0.12
313,Nim Tamang,inIND,DF,Goa,28.0,1995.0,8,5,389,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
314,Deepak Tangri,inIND,MF,Mohun Bagan,25.0,1999.0,17,11,974,10.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
315,Sahil Tavora,inIND,MF,Goa,28.0,1995.0,20,10,1098,12.2,1,1,2,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16
316,Anirudh Thapa,inIND,MF,Mohun Bagan,26.0,1998.0,15,8,757,8.4,0,2,2,0,0,0,2,0,0.0,0.24,0.24,0.0,0.24
317,Tiri,esESP,DF,Mumbai City,33.0,1991.0,21,21,1853,20.6,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15
318,Hrithik Tiwari,inIND,GK,Goa,22.0,2002.0,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
319,Jesin TK,inIND,FW,East Bengal,24.0,2000.0,4,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
320,Redeem Tlang,inIND,DF,NorthEast Utd,29.0,1995.0,16,12,1164,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
321,Jon Toral,esESP,MF,Mumbai City,29.0,1995.0,16,12,996,11.1,1,0,1,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09
322,Rehenesh TP,inIND,GK,Mumbai City,31.0,1993.0,7,6,506,5.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
323,Muhammed Uvais,inIND,DF,Jamshedpur,26.0,1998.0,24,24,2159,24.0,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08
324,Sreekuttan V.S.,inIND,FW,Jamshedpur,25.0,1998.0,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
325,Aron Vanlalrinchhana,inIND,MF,Hyderabad FC,20.0,2004.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
326,Isak Vanlalruatfela,inIND,"MF,FW",Odisha,23.0,2001.0,20,19,1634,18.2,3,5,8,3,0,0,1,0,0.17,0.28,0.44,0.17,0.44
327,Vanlalzuidika,inIND,DF,Mohammedan,26.0,1998.0,22,22,1911,21.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
328,Isaac Vanmalsawma,inIND,MF,Hyderabad FC,27.0,1996.0,18,14,1199,13.3,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08
329,Soham Varshneya,inIND,MF,Bengaluru,19.0,2004.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
330,Vinith Venkatesh,inIND,"FW,MF",Bengaluru,19.0,2005.0,16,7,529,5.9,1,2,3,1,0,0,2,0,0.17,0.34,0.51,0.17,0.51
331,Ezequiel Vidal,arARG,"MF,FW",Punjab,28.0,1995.0,22,20,1590,17.7,7,3,10,7,0,0,6,1,0.4,0.17,0.57,0.4,0.57
332,Prachit Vishwas,inIND,MF,Goa,18.0,2006.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
333,Ryan Williams,auAUS,FW,Bengaluru,30.0,1993.0,17,13,1238,13.8,4,3,7,4,0,0,3,0,0.29,0.22,0.51,0.29,0.51
334,Robin Yadav,inIND,DF,NorthEast Utd,22.0,2001.0,5,1,177,2.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
335,Vishal Yadav,inIND,MF,Punjab,16.0,2008.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
336,Irfan Yadwad,inIND,"MF,FW",Chennaiyin,23.0,2001.0,23,23,1863,20.7,4,4,8,4,0,0,3,0,0.19,0.19,0.39,0.19,0.39
337,Bikash Yumnam,inIND,DF,Kerala Blasters,20.0,2003.0,3,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
338,Bikash Yumnam,inIND,DF,Chennaiyin,20.0,2003.0,10,9,764,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
339,Héctor Yuste,esESP,DF,East Bengal,36.0,1988.0,18,16,1352,15.0,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07
340,Míchel Zabaco,esESP,DF,NorthEast Utd,35.0,1989.0,21,21,1890,21.0,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05
341,Joe Zoherliana,inIND,DF,Mohammedan,25.0,1999.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
342,Jeremy Zohminghlua,inIND,DF,Odisha,19.0,2004.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
